refcode,output
ABALAS,ABALAS.cif
ABEGEU,ABEGEU.cif
ABENEB,ABENEB.cif
ABEROP,ABEROP.cif
ABEWAG,ABEWAG.cif
ABINOS02,ABINOS02.cif
ABORER01,ABORER01.cif
ABOVIY03,ABOVIY03.cif
ABUMIT,ABUMIT.cif
ACAMOX,ACAMOX.cif
ACDHAL01,ACDHAL01.cif
ACENAP03,ACENAP03.cif
ACETAC07,ACETAC07.cif
ACETPH,ACETPH.cif
ACIQUB,ACIQUB.cif
ACIRAI,ACIRAI.cif
ACMCPY,ACMCPY.cif
ACNAQU01,ACNAQU01.cif
ACSKAT01,ACSKAT01.cif
ACUWAZ,ACUWAZ.cif
ACYMPZ,ACYMPZ.cif
ADADUG,ADADUG.cif
ADAHET,ADAHET.cif
ADAMAN08,ADAMAN08.cif
ADAREE,ADAREE.cif
ADIGEA,ADIGEA.cif
ADIVIT,ADIVIT.cif
ADIVUF,ADIVUF.cif
ADOXID,ADOXID.cif
AFAPUT,AFAPUT.cif
AFEPAD,AFEPAD.cif
AFEWAK,AFEWAK.cif
AFIGOO,AFIGOO.cif
AFIGUS,AFIGUS.cif
AFIMEJ,AFIMEJ.cif
AGAKUP,AGAKUP.cif
AGAKUP01,AGAKUP01.cif
AGIDOL,AGIDOL.cif
AHCHEX01,AHCHEX01.cif
AHEJAZ07,AHEJAZ07.cif
AHEJAZ08,AHEJAZ08.cif
AHIVEU,AHIVEU.cif
AHUGUH,AHUGUH.cif
AHUHAO,AHUHAO.cif
AJAQAE,AJAQAE.cif
AJEVOB,AJEVOB.cif
AJIVIZ,AJIVIZ.cif
AJOQUL03,AJOQUL03.cif
AJOYEF,AJOYEF.cif
AKEFIH,AKEFIH.cif
AKEFUT,AKEFUT.cif
AKETAN,AKETAN.cif
AKOVOL,AKOVOL.cif
AKOVOL02,AKOVOL02.cif
AKOXUV,AKOXUV.cif
AKOYAA,AKOYAA.cif
AKOZOR,AKOZOR.cif
AKUNUQ,AKUNUQ.cif
AMBACO05,AMBACO05.cif
AMBACO08,AMBACO08.cif
AMBNAC12,AMBNAC12.cif
AMBNAC18,AMBNAC18.cif
AMCLPY,AMCLPY.cif
AMCPHO,AMCPHO.cif
AMIMZD10,AMIMZD10.cif
AMIMZE10,AMIMZE10.cif
AMITEW,AMITEW.cif
AMIXPO,AMIXPO.cif
AMMEPY01,AMMEPY01.cif
AMNIFL,AMNIFL.cif
AMNPHA,AMNPHA.cif
AMNTPY,AMNTPY.cif
AMPHOL01,AMPHOL01.cif
AMPYRE,AMPYRE.cif
AMPYRM11,AMPYRM11.cif
