refcode,asym_atom_count,full_atom_count,reduced_atom_count,reexpanded_atom_count,t1_expanded_atom_count,full_space_group,reduced_space_group,asym_space_group,full_counts,reexpanded_counts,t1_expanded_counts,diagnosis
AQUSEM,21,168,21,252,168,P 1,C 2/c,I 2/a,C:72;Cl:8;F:24;H:48;N:16,C:108;Cl:12;F:36;H:72;N:24,C:72;Cl:8;F:24;H:48;N:16,reexpanded_composition_mismatch
AWACAE,16,64,16,32,64,P 1,P -1,C -1,C:32;Cl:4;F:4;H:16;N:8,C:16;Cl:2;F:2;H:8;N:4,C:32;Cl:4;F:4;H:16;N:8,reexpanded_composition_mismatch
CEKGUU01,13,26,5,30,26,P 1,P -3,P -3,C:6;H:18;N:2,C:6;H:18;N:6,C:6;H:18;N:2,reexpanded_composition_mismatch
CLPSUL02,25,100,13,152,100,P 1,C 2/c,I 2/a,C:48;Cl:8;H:32;O:8;S:4,C:72;Cl:12;H:48;O:12;S:8,C:48;Cl:8;H:32;O:8;S:4,reexpanded_composition_mismatch
CRYSEN,30,120,15,180,120,P 1,C 2/c,I 2/c,C:72;H:48,C:108;H:72,C:72;H:48,reexpanded_composition_mismatch
CUBANE,16,16,4,48,16,P 1,R -3,R -3,C:8;H:8,C:24;H:24,C:8;H:8,reexpanded_composition_mismatch
DERBEH,16,64,8,96,64,P 1,C 2/c,I 2/a,C:16;H:24;O:16;S:8,C:24;H:36;O:24;S:12,C:16;H:24;O:16;S:8,reexpanded_composition_mismatch
LELVIK,18,144,18,216,144,P 1,C 2/c,I 2/a,C:32;H:72;N:8;O:24;S:8,C:48;H:108;N:12;O:36;S:12,C:32;H:72;N:8;O:24;S:8,reexpanded_composition_mismatch
MEYCEY,21,42,11,64,42,P 1,C 2,I 2,C:22;H:20,C:34;H:30,C:22;H:20,reexpanded_composition_mismatch
SALMID04,17,136,17,204,136,P 1,C 2/c,I 2/a,C:56;H:56;N:8;O:16,C:84;H:84;N:12;O:24,C:56;H:56;N:8;O:16,reexpanded_composition_mismatch
TETDAM03,20,40,4,48,40,P 1,P 6_3/m,P 63/m,C:12;H:24;N:4,C:12;H:24;N:12,C:12;H:24;N:4,reexpanded_composition_mismatch
