refcode,status,error,full_atom_count,reference_asymmetric_atom_count,reduced_atom_count,reexpanded_atom_count,detected_space_group,detected_hall_number,detected_symmetry_operation_count,pdd_to_full,pdd_to_t1_expansion,max_site_displacement_to_full_angstrom,max_site_displacement_to_t1_expansion_angstrom
ABALAS,ok,,84,21,21,84,P 2_1/c,81,1,0,2.60109394341e-15,0,1.79491024365e-15
ABEGEU,ok,,28,14,14,28,P -1,2,0,0,2.22044604925e-15,0,1.63957736277e-15
ABENEB,ok,,64,16,16,64,P 2_1/c,81,1,1.38777878078e-15,2.38697950294e-15,0,1.11817754689e-15
ABEROP,ok,,72,18,18,72,P 2_1/c,81,1,1.7763568394e-15,2.02307306709e-15,0,3.83360010403e-16
ABEWAG,ok,,72,9,9,72,P 4_2/n,361,3,1.38161087509e-15,1.62832710278e-15,0,0
ABINOS02,ok,,80,20,20,80,P 2_12_12_1,115,3,1.68753899743e-15,1.86517468137e-15,0,0
ABORER01,ok,,54,27,27,54,P -1,2,0,0,1.69411809684e-15,0,1.51878509769e-15
ABOVIY03,ok,,64,32,32,64,P -1,2,0,0,2.91433543964e-15,0,3.03360166474e-15
ABUMIT,ok,,48,12,12,48,P 2_1/c,81,1,1.70234197109e-15,2.29446091756e-15,0,4.38482583576e-16
ACAMOX,ok,,34,17,17,34,P -1,2,0,0,1.88084841819e-15,0,1.34758870729e-15
ACDHAL01,ok,,64,16,16,64,P 2_1/c,81,1,0,1.60982338571e-15,0,4.25914858937e-16
ACENAP03,ok,,88,44,24,88,P mc2_1,128,3,1.3726393759e-15,1.99840144433e-15,0,0
ACETAC07,ok,,32,8,8,32,P na2_1,164,3,8.881784197e-16,1.33226762955e-15,0,0
ACETPH,ok,,68,17,17,68,P 2_1/c,81,1,0,1.88084841819e-15,0,2.08313158592e-15
ACIQUB,ok,,52,13,13,52,P 2_1/c,81,1,0,2.1179639239e-15,0,0
ACIRAI,ok,,32,16,16,32,P -1,2,0,0,2.52575738102e-15,0,2.42753077106e-15
ACMCPY,ok,,42,21,21,42,P -1,2,0,0,2.53765262771e-15,0,1.73622324039e-15
ACNAQU01,ok,,80,20,20,80,P 2_12_12_1,115,3,0,1.84297022088e-15,0,0
ACSKAT01,ok,,96,24,24,96,P 2_1/c,81,1,0,1.88737914186e-15,0,7.97184540602e-16
ACUWAZ,ok,,60,30,30,60,P 2_1,6,1,0,1.22864681392e-15,0,3.27787796905e-16
ACYMPZ,ok,,64,16,16,64,P 2_1/c,81,1,0,1.94289029309e-15,0,1.69775304926e-15
ADADUG,ok,,88,44,44,88,P -1,2,0,0,2.72509287863e-15,0,3.14346577302e-15
ADAHET,ok,,80,20,20,80,P 2_12_12_1,115,3,1.59872115546e-15,1.99840144433e-15,0,0
ADAMAN08,ok,,52,26,7,52,P -42_1c,391,7,1.366428338e-15,2.049642507e-15,0,6.97261119368e-32
ADAREE,ok,,72,18,18,72,P na2_1,164,3,1.52964061171e-15,1.75168521663e-15,0,0
ADIGEA,ok,,50,25,25,50,P -1,2,0,0,2.23820961764e-15,0,1.82298620643e-15
