system_name,status,contcar_path,atom_count,molecule_count,molecule_sizes,unit_cell_cif,unit_cell_diagram,molecule_diagrams,error
ACXMAC,ok,/Users/zianzhan/Desktop/CSP_sandbox/CSP-personal/Results/VASP_HA_pair_TPSS_converged_structure/ACXMAC/CONTCAR,46,6,10;10;10;10;3;3,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/unit_cells/ACXMAC_unit_cell.cif,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/unit_cell_diagrams/ACXMAC_unit_cell_labelled.png,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/ACXMAC_molecule_01_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/ACXMAC_molecule_02_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/ACXMAC_molecule_03_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/ACXMAC_molecule_04_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/ACXMAC_molecule_05_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/ACXMAC_molecule_06_labelled.png,
ALXANM11,ok,/Users/zianzhan/Desktop/CSP_sandbox/CSP-personal/Results/VASP_HA_pair_TPSS_converged_structure/ALXANM11/CONTCAR,30,2,15;15,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/unit_cells/ALXANM11_unit_cell.cif,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/unit_cell_diagrams/ALXANM11_unit_cell_labelled.png,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/ALXANM11_molecule_01_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/ALXANM11_molecule_02_labelled.png,
AMTETZ01,ok,/Users/zianzhan/Desktop/CSP_sandbox/CSP-personal/Results/VASP_HA_pair_TPSS_converged_structure/AMTETZ01/CONTCAR,48,8,9;9;9;9;3;3;3;3,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/unit_cells/AMTETZ01_unit_cell.cif,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/unit_cell_diagrams/AMTETZ01_unit_cell_labelled.png,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/AMTETZ01_molecule_01_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/AMTETZ01_molecule_02_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/AMTETZ01_molecule_03_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/AMTETZ01_molecule_04_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/AMTETZ01_molecule_05_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/AMTETZ01_molecule_06_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/AMTETZ01_molecule_07_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/AMTETZ01_molecule_08_labelled.png,
ASAXUO,ok,/Users/zianzhan/Desktop/CSP_sandbox/CSP-personal/Results/VASP_HA_pair_TPSS_converged_structure/ASAXUO/CONTCAR,148,12,3;3;3;3;17;17;17;17;17;17;17;17,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/unit_cells/ASAXUO_unit_cell.cif,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/unit_cell_diagrams/ASAXUO_unit_cell_labelled.png,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/ASAXUO_molecule_01_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/ASAXUO_molecule_02_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/ASAXUO_molecule_03_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/ASAXUO_molecule_04_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/ASAXUO_molecule_05_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/ASAXUO_molecule_06_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/ASAXUO_molecule_07_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/ASAXUO_molecule_08_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/ASAXUO_molecule_09_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/ASAXUO_molecule_10_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/ASAXUO_molecule_11_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/ASAXUO_molecule_12_labelled.png,
ASAYAV,ok,/Users/zianzhan/Desktop/CSP_sandbox/CSP-personal/Results/VASP_HA_pair_TPSS_converged_structure/ASAYAV/CONTCAR,68,4,17;17;17;17,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/unit_cells/ASAYAV_unit_cell.cif,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/unit_cell_diagrams/ASAYAV_unit_cell_labelled.png,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/ASAYAV_molecule_01_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/ASAYAV_molecule_02_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/ASAYAV_molecule_03_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/ASAYAV_molecule_04_labelled.png,
ATZTHD10,ok,/Users/zianzhan/Desktop/CSP_sandbox/CSP-personal/Results/VASP_HA_pair_TPSS_converged_structure/ATZTHD10/CONTCAR,128,8,16;16;16;16;16;16;16;16,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/unit_cells/ATZTHD10_unit_cell.cif,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/unit_cell_diagrams/ATZTHD10_unit_cell_labelled.png,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/ATZTHD10_molecule_01_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/ATZTHD10_molecule_02_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/ATZTHD10_molecule_03_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/ATZTHD10_molecule_04_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/ATZTHD10_molecule_05_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/ATZTHD10_molecule_06_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/ATZTHD10_molecule_07_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/ATZTHD10_molecule_08_labelled.png,
AVEMUK,ok,/Users/zianzhan/Desktop/CSP_sandbox/CSP-personal/Results/VASP_HA_pair_TPSS_converged_structure/AVEMUK/CONTCAR,66,6,15;15;15;15;3;3,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/unit_cells/AVEMUK_unit_cell.cif,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/unit_cell_diagrams/AVEMUK_unit_cell_labelled.png,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/AVEMUK_molecule_01_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/AVEMUK_molecule_02_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/AVEMUK_molecule_03_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/AVEMUK_molecule_04_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/AVEMUK_molecule_05_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/AVEMUK_molecule_06_labelled.png,
BIPTID01,ok,/Users/zianzhan/Desktop/CSP_sandbox/CSP-personal/Results/VASP_HA_pair_TPSS_converged_structure/BIPTID01/CONTCAR,76,4,19;19;19;19,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/unit_cells/BIPTID01_unit_cell.cif,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/unit_cell_diagrams/BIPTID01_unit_cell_labelled.png,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/BIPTID01_molecule_01_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/BIPTID01_molecule_02_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/BIPTID01_molecule_03_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/BIPTID01_molecule_04_labelled.png,
BULMAW10,ok,/Users/zianzhan/Desktop/CSP_sandbox/CSP-personal/Results/VASP_HA_pair_TPSS_converged_structure/BULMAW10/CONTCAR,176,32,8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/unit_cells/BULMAW10_unit_cell.cif,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/unit_cell_diagrams/BULMAW10_unit_cell_labelled.png,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/BULMAW10_molecule_01_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/BULMAW10_molecule_02_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/BULMAW10_molecule_03_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/BULMAW10_molecule_04_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/BULMAW10_molecule_05_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/BULMAW10_molecule_06_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/BULMAW10_molecule_07_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/BULMAW10_molecule_08_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/BULMAW10_molecule_09_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/BULMAW10_molecule_10_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/BULMAW10_molecule_11_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/BULMAW10_molecule_12_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/BULMAW10_molecule_13_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/BULMAW10_molecule_14_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/BULMAW10_molecule_15_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/BULMAW10_molecule_16_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/BULMAW10_molecule_17_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/BULMAW10_molecule_18_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/BULMAW10_molecule_19_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/BULMAW10_molecule_20_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/BULMAW10_molecule_21_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/BULMAW10_molecule_22_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/BULMAW10_molecule_23_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/BULMAW10_molecule_24_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/BULMAW10_molecule_25_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/BULMAW10_molecule_26_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/BULMAW10_molecule_27_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/BULMAW10_molecule_28_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/BULMAW10_molecule_29_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/BULMAW10_molecule_30_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/BULMAW10_molecule_31_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/BULMAW10_molecule_32_labelled.png,
CEMHEK,ok,/Users/zianzhan/Desktop/CSP_sandbox/CSP-personal/Results/VASP_HA_pair_TPSS_converged_structure/CEMHEK/CONTCAR,40,4,10;10;10;10,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/unit_cells/CEMHEK_unit_cell.cif,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/unit_cell_diagrams/CEMHEK_unit_cell_labelled.png,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/CEMHEK_molecule_01_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/CEMHEK_molecule_02_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/CEMHEK_molecule_03_labelled.png;/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/molecule_diagrams/CEMHEK_molecule_04_labelled.png,
