system_name,status,cif_path,selected_formula,selected_atom_count,duplicate_count,zmatrix_path,entry_count,proper_count,improper_count,fallback_count,ambiguous_count,warning_count,validation_error_count,warnings,validation_errors,error
ACXMAC,ok,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/unit_cells/ACXMAC_unit_cell.cif,C2H5N1O2,10,4,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/BranchImproper_API_Zmatrices/ACXMAC_branch_improper.zmat,10,3,4,0,0,0,0,,,
ALXANM11,ok,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/unit_cells/ALXANM11_unit_cell.cif,C4H4N2O5,15,2,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/BranchImproper_API_Zmatrices/ALXANM11_branch_improper.zmat,15,7,5,0,0,0,0,,,
AMTETZ01,ok,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/unit_cells/AMTETZ01_unit_cell.cif,C1H3N5,9,4,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/BranchImproper_API_Zmatrices/AMTETZ01_branch_improper.zmat,9,3,3,0,0,0,0,,,
ASAXUO,ok,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/unit_cells/ASAXUO_unit_cell.cif,C7H6N2O2,17,8,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/BranchImproper_API_Zmatrices/ASAXUO_branch_improper.zmat,17,9,5,0,0,0,0,,,
ASAYAV,ok,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/unit_cells/ASAYAV_unit_cell.cif,C7H6N2O2,17,4,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/BranchImproper_API_Zmatrices/ASAYAV_branch_improper.zmat,17,9,5,0,0,0,0,,,
ATZTHD10,ok,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/unit_cells/ATZTHD10_unit_cell.cif,C3H4N6O2S1,16,8,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/BranchImproper_API_Zmatrices/ATZTHD10_branch_improper.zmat,16,7,6,0,0,0,0,,,
AVEMUK,ok,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/unit_cells/AVEMUK_unit_cell.cif,C6H5N1O3,15,4,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/BranchImproper_API_Zmatrices/AVEMUK_branch_improper.zmat,15,7,5,0,0,0,0,,,
BIPTID01,ok,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/unit_cells/BIPTID01_unit_cell.cif,C7H8N2O1S1,19,4,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/BranchImproper_API_Zmatrices/BIPTID01_branch_improper.zmat,19,9,7,0,0,0,0,,,
BULMAW10,ok,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/unit_cells/BULMAW10_unit_cell.cif,C2F3H1O2,8,16,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/BranchImproper_API_Zmatrices/BULMAW10_branch_improper.zmat,8,2,3,0,0,0,0,,,
CEMHEK,ok,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/unit_cells/CEMHEK_unit_cell.cif,C2H5N1O2,10,4,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/BranchImproper_API_Zmatrices/CEMHEK_branch_improper.zmat,10,3,4,0,0,0,0,,,
CEWMAW,ok,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/unit_cells/CEWMAW_unit_cell.cif,C4H5N5O4,18,2,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/BranchImproper_API_Zmatrices/CEWMAW_branch_improper.zmat,18,7,8,0,0,0,0,,,
CINFAJ01,ok,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/HA_pair_TPSS_CONTCAR_labelled_diagrams/unit_cells/CINFAJ01_unit_cell.cif,C6H8O2,16,2,/Users/zianzhan/Desktop/CSP_sandbox/CSPToolbox/TestCase/T3_zmatrix_generation/BranchImproper_API_Zmatrices/CINFAJ01_branch_improper.zmat,16,6,7,0,0,0,0,,,
